"","address","price","area","noroom","description","Ingatlan állapota","Építés éve","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára"
"784","XIII. kerület, Népfürdo utca","91,4 millió Ft","78 m²","3","A Dunapart melletti Riverloft Apartmanházban Vizafogón, a Dunaparttól pár méterre 2. emeleti, D-i tájolású, 16,8 m2 erkéllyel rendelkezo 3 szobás, tehermentes, nagyon szép, jó elrendezésu lakás eladó. Mindhárom szobából kijárat van a hatalmas teraszra, mely felol a délutáni órákban csodálatosan besüt a nap az egész ingatlanba. Méretek: Szoba              14.00 m2Szoba              12.30 m2Szoba              20.00 m2Konyha+étkezo 6.00 m2Gardrób                 3.23 m2Közlekedo         4.50 m2Eloszoba         3.00 m2WC                         2.00 m2Fürdo                 6.00 m2Gk parkoló a teremgarázsban12.00 m2Fedett terasz                                16.80 m2A fürdo, Wc és a konyha az elmúlt 2 évben teljesen megújult, modern külsot kapott: új burkolatok, szaniterek,- bútorok és - gépek (melyek az árban vannak). A hálóban és az eloszobában lévo beépített szekrények a lakásban maradnak, a többi bútor alku tárgyát képezi. A teremgarázsban +5 M Ft-ért a parkoló is megvásárolandó ! A portaszolgálatos társasház földszintjén úszómedence, szaunák, fitness terem nyújtja a kikapcsolódást, melyet csak a tulajdonosok használhatnak (ingyen). Az egész lakóparkon végighúzódik a kellemes, lombos Tom Lantos sétány. Kiváló választás kisgyermekes családoknak is, hisz játszótér, óvoda, iskola pár perces séta, Dunapart néhány méterre. Spar, pékség, zöldséges, cukrászda, fodrászat, kozmetika és minden, a hétköznapokat megkönnyíto szolgáltatás, üzlet a közvetlen környezetében. Közlekedése remek:troli, busz, Metro kevés sétával elérheto, a Belváros néhány perc alatt megközelítheto.Megtekintésért kérem keressen elérhetoségeimen!","felújított","2001 és 2010 között","összkomfortos","nincs megadva","2","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","dél","kertre néz","16.8 m²","nincs megadva","nem tetotéri","teremgarázs hely - kötelezo megvenni","5 000 000 Ft"
"785","XIII. kerület, Vizafogó - Riverside","91,4 millió Ft","78 m²","3","Riverloft Apartmanházban (Vizafogó) 2. emeleti, déli tájolású, 16,8 m2 erkéllyel rendelkezo 3 szobás, tehermentes lakás eladó.A szobákból kijárat  a teraszra. A fürdo, wc és konyha az elmúlt 2 évben megújultt: burkolatok,- bútorok és -gépek (az árban vannak). A két beépített szekrény a lakásban marad, a többi bútor alku tárgyát képezi.A teremgarázsban +5 M Ft-ért parkoló is megvásárolandó!Irányár: 91400000 FtReferencia szám: LK511247","felújított","2001 és 2010 között","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","kertre néz","17 m²","nincs megadva","nem tetotéri","nincs megadva",NA
"786","XIII. kerület, Vizafogó","91,4 millió Ft","78 m²","3","Riverloft Apartmanházban (Vizafogón, Dunaparttól pár méterre) 2. emeleti, D-i tájolású, 16,8 m2 erkéllyel rendelkezo 3 szobás, tehermentes, nagyon szép, jó elrendezésu lakás eladó. Mindhárom szobából kijárat van a hatalmas teraszra, mely felol a délutáni órákban csodálatosan besüt a nap az egész ingatlanba. A fürdo, Wc és a konyha az elmúlt 2 évben teljesen megújult, modern külsot kapott: új burkolatok, szaniterek,- bútorok és - gépek (melyek az árban vannak). A hálóban és az eloszobában lévo beépített szekrények a lakásban maradnak, a többi bútor alku tárgyát képezi. A teremgarázsban +5 M Ft-ért a parkoló is megvásárolandó! A portaszolgálatos társasház földszintjén úszómedence, szaunák, fitness terem nyújtja a kikapcsolódást, melyet csak a tulajdonosok használhatnak (ingyen). Az egész lakóparkon végighúzódik a kellemes, lombos Tom Lantos sétány. Kiváló választás kisgyermekes családoknak is, hisz játszótér, óvoda, iskola pár perces séta, Dunapart néhány méterre. Spar, pékség, zöldséges, cukrászda, fodrászat, kozmetika és minden, a hétköznapokat megkönnyíto szolgáltatás, üzlet a közvetlen környezetében. Közlekedése remek:troli, busz, Metro kevés sétával elérheto, a Belváros néhány perc alatt megközelítheto.Referencia szám: LK511247","felújított","2001 és 2010 között","nincs megadva","nincs megadva","2","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"787","XIII. kerület, Vizafogó - Riverside","91,4 millió Ft","78 m²","3","Riverloft Apartmanházban (Vizafogón, Dunaparttól pár méterre) 2. emeleti, D-i tájolású, 16,8 m2 erkéllyel rendelkezo 3 szobás, tehermentes, nagyon szép, jó elrendezésu lakás eladó. Mindhárom szobából kijárat van a hatalmas teraszra, mely felol a délutáni órákban csodálatosan besüt a nap az egész ingatlanba. A fürdo, Wc és a konyha az elmúlt 2 évben teljesen megújult, modern külsot kapott: új burkolatok, szaniterek,- bútorok és - gépek (melyek az árban vannak). A hálóban és az eloszobában lévo beépített szekrények a lakásban maradnak, a többi bútor alku tárgyát képezi. A teremgarázsban +5 M Ft-ért a parkoló is megvásárolandó! A portaszolgálatos társasház földszintjén úszómedence, szaunák, fitness terem nyújtja a kikapcsolódást, melyet csak a tulajdonosok használhatnak (ingyen). Az egész lakóparkon végighúzódik a kellemes, lombos Tom Lantos sétány. Kiváló választás kisgyermekes családoknak is, hisz játszótér, óvoda, iskola pár perces séta, Dunapart néhány méterre. Spar, pékség, zöldséges, cukrászda, fodrászat, kozmetika és minden, a hétköznapokat megkönnyíto szolgáltatás, üzlet a közvetlen környezetében. Közlekedése remek:troli, busz, Metro kevés sétával elérheto, a Belváros néhány perc alatt megközelítheto. 91400000 FtReferencia szám: LK511247","felújított","2001 és 2010 között","nincs megadva","nincs megadva","2","nincs megadva","van","nincs megadva","egyéb","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"788","XIII. kerület, Révész utca","91,4 millió Ft","70 m²","3","Dunapart közvetlen közelében, a Margit szigettel szemben Wellness részleggel rendelkezo Apartmanházban  lakás eladó!A 70 nm-es otthon mindhárom szobájából kijárat van a 17 nm-es teraszra. A hálószobában és az eloszobában beépített szekrények az ár részét képezik.A teremgarázsban +5 M Ft-ért a parkoló megvásárolandó!Hatalmas parkosított belso kert és külso játszótér tartozik a házhoz.A portaszolgálatos társasház földszintjén úszómedence, szaunák, fitnessterem nyújtja a kikapcsolódást, melyet csak a tulajdonosok használhatnak. Az egész lakóparkon végighúzódik a kellemes, lombos Tom Lantos sétány.Kiváló választás kisgyermekes családoknak is, hisz játszótér, óvoda, iskola pár perces séta, Dunapart néhány méterre. Spar, pékség, zöldséges, cukrászda, fodrászat, kozmetika és a hétköznapokat megkönnyíto szolgáltatás, üzlet a közvetlen környezetben.Közlekedés remek: trolibuszok, 115, 15 busz, 3 Metró","újszeru","2001 és 2010 között","összkomfortos","nincs megadva","7","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","17 m²","nincs megadva","nincs megadva","teremgarázs hely - kötelezo megvenni","5 000 000 Ft"
"789","XIII. kerület, Népfürdo utca","91,4 millió Ft","70 m²","3","Éljen luxus körülmények között portaszolgálatos, medencés lakóparkban!Riverloft Apartmanházban (Vizafogón, Dunaparttól pár méterre) 2. emeleti, déli tájolású, 16,8 m2 erkéllyel rendelkezo 3 szobás, tehermentes, nagyon szép, jó elrendezésu lakás eladó.Mindhárom szobából kijárat van a nagy teraszra (16,8 m2), ahonnanl a délutáni órákban csodálatosan besüt a nap az egész ingatlanba. A fürdo, wc és konyha teljesen új, modern külsot kapott: új burkolatok,- bútorok és -gépek, melyek az árban vannak.A hálóban és az eloszobában lévo beépített szekrények a lakásban maradnak, a többi bútor alku tárgyát képezheti.A teremgarázsban +5 M Ft-ért a parkoló is megvásárolható!A portaszolgálatos társasház földszintjén úszómedence, szaunák, fitness terem nyújtja a kikapcsolódást, melyet csak a tulajdonosok használhatnak - ingyen.Referencia szám: LK511247","felújított","2001 és 2010 között","összkomfortos","nincs megadva","2","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","igen","külön helyiségben","dél","kertre néz","17 m²","nem","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft"
"790","VIII. kerület, Vas utca","91,5 millió Ft","80 m²","2","Eladó luxus minoségben felújított lakás a Palotanegyedben! Az ingatlan területe 77nm plusz 6nm terasz, 2020 második felében lett teljesköruen,  luxus minoségben felújítva. A lakás bútorozatlan, a konyha és fürdoszoba a képeken látható módon teljesen felszereltek.A társasház rendkívül jó állapotú, csendes, jó lakóközösségu, külso homlokzata 2019-ben lett felújítva, idén pedig egy teljesen új lift kerül kialakításra. A lokáció kiváló, a Palotanegyed legfrekventáltabb részén található.  Felújítás részletei:-szomszédokkal érintkezo falfelületek hangszigetelése-új és felújított fa nyílászárók-víz és villamos vezetékek cseréje-dual klíma (nappaliban és halószobában)-magyar tömörfa parketta-beépített szekrények-beépített, gépesített olasz konyhabútor-riasztórendszerIngatlanosok kérem ne keressenek!","felújított","1950 elott","luxus","nincs megadva","3","5","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","egy helyiségben","nincs megadva","utcai","6 m²","nem","nem tetotéri","utca, közterület",NA
"791","IX. kerület, Középso-Ferencváros","91,5 millió Ft","61 m²","3","Várható befejezés: 2022. június. Konyhabútor nem készül. Fa ablakkeretek. Házközponti légkondicionáló.","új építésu","2022","összkomfortos","nincs megadva","1","5","van","3 m-nél magasabb","házközponti egyedi méréssel","van","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","utcai","nincs megadva","nincs megadva","nincs megadva","utca, közterület - fizetos övezet",NA
"792","VI. kerület, Király utca","91,5 millió Ft","91 m²","3","Eladó a VI. kerületi Király utcában két, egymás közvetlen szomszédságában lévo, világos, szeparált lakás. Az ingatlanok egy függofolyosós bérház 4. emeletén vannak, ahova lift visz fel. A ház csendes, nyugodt, kaputelefonnal és biztonsági tokennel is nyitható utcai bejárattal ellátott. A ház állagmegóvásáról az aktív közös képviselet gondoskodik. Közel a Teréz körút, Andrássy út, de a Városliget is. 70, 73, 76, 78-as troli megálló 30 méterre. A kis földalatti (M1 metró) a Kodály Köröndnél csupán 6-10 perc sétára van.  A szobák a belso udvarra néznek. A napfény reggelente akadálytalanul süthet be a szobába. A lakások folyosó végi szakaszon vannak, mely kulccsal, egyedi tokennel, sot GSM kóddal, távolról is nyitható/zárható rácsos kapuval védettek. Mindkét lakáshoz tartozik 1-1 pince. A nagyobb lakás közös költsége 22.100 Ft, a kisebbik 16.500 FtA felújított nagyobb lakás 57 nm-es, 2 egymásból nyíló szobával (~11 és ~12 nm), nagy méretu konyhával, kamrával, wc-vel, fürdoszobával rendelkezik.  Mindkét szobában saját konvektor biztosítja a meleget. A szobák parkettázottak.  A konyhában és a mellékhelyiségekben járólap van.  A szomszédságában lévo lakás 34 nm alapterületu, galériázott kuckó. A lakhely járólapos  konyhából, kamrából, wc és fürdoszobából, valamint a galériázott, parkettás szobából áll.  Az épített galéria 8 nm-es. A szoba földgáz cserépkályhás futéssel ellátott, meghitt hangulatot adva a hideg évszakokra. A meleg nyári napokot az ablakklíma teszi kellemessé. Mindkét lakás mosógéppel, hutoszekrénnyel, gáztuzhellyel felszerelt, bútorozott. Kábeltévé, vezetékes internet rendelkezésre áll.  A két lakás együtt eladó, ezért a megadott adatok (pl. négyzetméter, szobák száma) a két lakásra együtt vonatkozik. Vállakozások számára ideális lehet, akár irodának, fogadó helyiséggel, vendégváróval kialakított üzleti vállalkozásként is.  A két lakás ideális lehet összeköltözok számára, akik közel, de mégis szeparáltan élnének együtt. Vagy olyanok számára, ahol több generáció lakna egymás közelségében, óvva az idos családtagot. Vállalkozások számára is jó megoldás lehet 2-in-1: egyikben laksz, másikban dolgozol. Sose lesz dugó a munkahelyig és a parkolásra sem lesz gondod.Érdeklodés a megadott számon _kizárólag_ este 6 után!","felújított","1950 és 1980 között","összkomfortos","nincs megadva","4","5","van","3 m-nél alacsonyabb","gáz (konvektor)","van","30 E Ft/hó","nem","külön és egyben is","kelet","udvari","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA
"793","XI. kerület, Kánai út","91,5 millió Ft","72 m²","3","Az Atenor által fejlesztett Lake11 Home&Park egyedi tervezésu, környezettudatos otthonai csodás panorámával, Budapest 11. kerületében Koérbereken, közvetlenül a Kánai-tóra, a környezo budai dombokra vagy a gyönyöru belso kertre tájoltak és mindössze 10 percre találhatóak a budai belvárostól. Az épületeket négy kiváló építésziroda álmodta meg. A modern és letisztult, ugyanakkor önálló építészeti stílusjegyeket hordozó épületek és a természet között egységes tájépítészeti koncepció teremti meg a harmóniát. Az egyszobás stúdiólakástól a 2-3 és 4 hálószobás 150 m2-es családi, prémium és penthouse lakásokig, minden élethelyzetnek megfelelo lakástípus elérheto a lakóparkon belül. A hatalmas üvegablakokkal rendelkezo belso kétszintes DUPLEX apartmanjai, valamint extra nagy alapterületu prémium lakásai pedig valódi alternatívát kínálnak a családi házat keresok számára is.A hatalmas, zöld parkokkal körülvett modern élettérben lehetoséged lesz sportolni, kikapcsolódni, dolgozni, gyereket nevelni, pihenni és feltöltodni. Egyszóval élni. Ezt nyújtja az új Lake11 Home & Park. A te otthonod az életstílusodra és zöldre hangolva.Szinte minden városi szolgáltatás pár perc autózással elérheto, legyen szó moziról, bevásárlásról, találkozóhelyekrol. A gyors bejutáshoz persze nem kell mindig autót használni. A 187-es busz és a 41-es villamos is a lakóparknál áll meg. De az M1, M7 és M0 autópályák is könnyen elérhetoek, így nagyon gyorsan kijutunk a városból, akár a Velencei-tóra, akár a Balatonra indulunk. A Lake11 területén zöld parkok, csökkentett forgalmú sétálóutcák, kutyafuttató, játszótér és tó körüli futópálya gondoskodik az itt élok mindennapi kényelmérol és szabadtéri kikapcsolódásáról. A közelben számos lovarda, már kiépített uszoda, strand, fitneszterem, síiskola, tenisz- és squashpálya várja a beköltözoket. A lakóparkot körülölelo dombok, az Atenor fejleszto által telepített rengeteg fa által alkotott belso pihenokertek és park office lehetoségek a tóparttal pedig megteremtik a legfontosabbat: a természet közelségét, hogy minden egyensúlyba kerüljön. A Kánai-tó körül kiépülo sétány és futópálya, piheno pontokkal megújuló óriási zöld park, család- és gyermekbarát fejlesztések várják majd az itt éloket.A LAKE11 minden otthona az átlagnál tágasabb belso terekkel, jól kihasználható teraszokkal, igényes homlokzati burkolatokkal, a legkorszerubb muszaki, valamint okosotthon-megoldásokkal várja leendo lakóit. Az alapárban gépesített konyhát és külso árnyékolót kínálunk. A fejlesztés keretén belül az ATENOR a közvetlen helyi infrastruktúrát is fejleszti többek közt orvosi rendelo létesítésével.                                                                                                                                                                                 Az elsok között regisztrációs szerzodést aláíró kedves ügyfeleink számára, jelentos elonnyel kínáljuk lakásainkat!  • Bevezeto árak• Mindössze 2 M Ft regisztrációs díjjal és kedvezo fizetési ütemezéssel lefoglalhatja leendo új otthonát• A jelenlegi lakás alaprajzok építészeti kialakítása még díjmentesen módosítható • Minden lakáshoz foglalható gépkocsibeálló• Az alapárban gépesített konyhát és külso árnyékolót kínálunk.","új építésu","2023","nincs megadva","nincs megadva","2","4","van","3 m-nél alacsonyabb","hoszivattyú, mennyezeti hutés-futés","van","nincs megadva","nincs megadva","nincs megadva","nyugat","nincs megadva","5.79 m²","nem","nem tetotéri","teremgarázs hely",NA
"794","VII. kerület, Középso-Erzsébetváros","91,5 millió Ft","77 m²","4","KULCSRAKÉSZ ÚJÉPÍTÉSU BB ENERGIAIGÉNYU LAKÁSOK KARNYÚJTÁSNYIRA A BELVÁROSTÓL!Az értékesítés elkezdodött - találja meg újépítésu lakását nálunk!A lakások megvásárlásához igénybe veheto akár: CSOK és a hozzá felveheto kamattámogatott CSOK-hitel,lakásáfa-visszaigénylés és illetékmentesség a CSOK-igénylok számáraBabaváró hitellakáshitelA projekt otthonkínálatában mindenki megtalálja a számára ideális otthonta kis méretu lakástól,a nagy belteru, tágas családi fészken át az exkluzív tetoteraszos penthouseig.     Lakásaink egyaránt megfelelnek a befektetok igényeinek könnyu kiadhatóságuk és várható értéknövekedésük miatt, valamint saját részre vásárlóknak, hiszen itt minden adott egy modern városi életvitelhez.28 lakásos, 7 emeletes Társasházi projektünk a VII. kerület szívében, a Rózsák tere közelében épül. A lakások megtekinthetok, idopont egyeztetés a Duna House, mint egyedüli értékesítési partner dedikált értékesítojével lehetséges. Átadás tervezett ideje 2021. szeptember 30. A társasházban 57 m2-tol 193 m2-ig kínálunk eladásra magas minoségben készült, csendes, élheto, modern lakásokat. A 2 szobás lakástól, a 3 szobás exkluzív terasszal rendelkezo Penthouseon át, a 4 szobás óriás teraszos családi otthonig bezárólag mindenki megtalálhatja az elvárásainak, igényeinek és élethelyzetének leginkább megfelelo otthont. Lakásaink kialakítása során törekedtünk arra, hogy minden adott legyen egy igazi kényelmes városi életvitelhez.  A futés-hutés és meleg víz ellátásról levego-víz hoszivattyús rendszer gondoskodik, a padlófutés és mennyezeti hutés-futés nemcsak a legkorszerubb technológiát, hanem az alacsony fenntartási költséget is garantálja. Ingatlanjaink kiváló lehetoséget tartogatnak akár értékálló befektetésnek szánja, akár egy kényelmes, városi otthonnak, hiszen a belvároshoz közeli elhelyezkedéssel, kiváló közlekedési lehetoségeket élvezo lakás tulajdonosa lehet.További információért kérem keressen bizalommal!","nincs megadva",NA,"duplakomfortos","BB","1","7","van","nincs megadva","mennyezeti hutés-futés","van","nincs megadva","igen","külön és egyben is","nincs megadva","utcai","8 m²","nincs megadva","nincs megadva","teremgarázs hely - bérelheto",NA
"795","XIV. kerület, Alsórákos","91,5 millió Ft","125 m²","4","Eladásra kínálok a 14. kerületben, Alsórákoson egy gyönyöru belso 2 szintes, téglaépítésu 125 nm-es lakást!!Tágas, körbenapozott terek, kiváló állapot jellemzi.Az ingatlan dupla komfortos, több gardrób helyiséggel rendelkezik, 2 fürdoszobás, hatalmas amerikai konyhás, dupla teraszos,  és minden szoba klimatizált.BKK megállók a közelben:- Busz 133E  7  124  125  277- Éjszakai 979","nincs megadva",NA,"nincs megadva","nincs megadva","4","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","27 m²","nincs megadva","nincs megadva","nincs megadva",NA
"796","V. kerület, Belgrád rakpart","91,6 millió Ft","67 m²","2","Budapest V.kerületében Belgrád rakparton lakás eladó.Éppen befejezett, felújított, gyönyöru szecessziós liftes, épületben.67 nm-es, 2 szobás, gépesített konyhás.Gázcirkó futés.Nagypolgári elegáns, eredeti felújított külso-belso nyílászárókkal.","felújított","1950 elott","duplakomfortos","nincs megadva","3","6","nincs megadva","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","utcai","nincs megadva","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA
"797","V. kerület, Belgrád rakpart","91,65 millió Ft","67 m²","1 + 1 fél","V. kerület frekventált részén Március 15.tér közelében a Dunapart egyik legszebb szecessziós épületében eladásra kínálok egy 3.emeleti amerikai, gépiesített konyhás, nagypolgári elegáns 67 nm-es 1,5 szobás klasszikus lakást.A lakás kellemesen tágas, a belso hálószobából nyíló fürdoszoba nemcsak praktikus, de bensoséges érzetet is nyújt. A lakás futésérol cirkó készülék gondoskodik. A társasházban jelenleg felújítási munkálatok folynak, mely ez évben befejezodik.Bármilyen további kérdés esetén szívesen állok rendelkezésére!","felújított","1950 elott","összkomfortos","nincs megadva","2","6","van","3 m-nél magasabb","gáz (cirko)","nincs","40 E Ft/hó","nincs megadva","külön helyiségben","kelet","utcai","nincs megadva","nem","nem tetotéri","utca, közterület",NA
"798","V. kerület, Belgrád rakpart","91,65 millió Ft","67 m²","1 + 1 fél","V. kerület Belgrád rakparton lévo, az UNESCO Világörökség részét képezo, Hültl Dezso építész által tervezett egykori luxus bérházban 67 nm-es, nappali plusz egy hálószobás lakást kínálok megvételre.Az ingatlan a csendes Molnár utcára nézo ablakokkal rendelkezik, a liftes épület harmadik emeletén.Teljesen felújított és gépesített állapotban várja a leendo tulajdonosát, ide csak pár személyes apróságot kell hoznia. Az új tulajdonos kényelmét egy komplett egyedileg tervezett beépített konyha szolgálja majd a szükséges gépekkel. A lakás futésérol cirkó készülék gondoskodik, a belso hálószobából nyíló fürdoszoba praktikus intim elhelyezkedésu.A lakást szép, egyedi üvegajtók díszítik, kellemesen tágas érzetet kölcsönöz a nagy belmagasság.A társasház jelen pillanatban megújul, a felújítási munkálatok az idén befejezodnek.Az épület méltán a Dunapart egyik legszebb szecessziós épülete.További kérdéseivel, megtekintési szándékával kérem keressen a megadott elérhetoségeken.","felújított","1950 elott","összkomfortos","nincs megadva","3","6","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","48 E Ft/hó","nincs megadva","külön helyiségben","kelet","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA
"799","V. kerület, Március 15. tér","91,65 millió Ft","67 m²","2","Belgrád rakparti, Március 15. téri gyönyöru, liftes épületben, a Molnár utcára nézo, csendes, 2 szobás, 3. emeleti, felújított lakás eladó!A patinás, liftes Duna parti épület külso homlokzatait most renoválják, hamarosan elkészül a Belgrád rkp-i oldala is. Ezt követoen a házbelsot is teljesen felújítják, bár most is jó állapotban van.   A nappali a Molnár utcára, a hálószoba belso folyosóra néz.A lakás teljes köru, igényes felújítását, gépesítését 2012-2013-ban végezték, és jelenleg is kiváló állapotban van.Csendes és világos, a 36 nm-es nappalijába délelott süt be a nap, és a szemben lévo épület homlokzata is kiváló állapotú, szép látványt nyújt. Saját használatra és kiadásra is tökéletes választás.Megtekintése 1-2 nappal elore egyeztetett idopontban lehetséges.","felújított","1950 elott","összkomfortos","nincs megadva","3","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","kelet","utcai","nincs megadva","nincs megadva","nem tetotéri","utca, közterület",NA
"800","IV. kerület, Székesdulo","91,65 millió Ft","86 m²","3","Éljen zöldben! Éljen a természetben! Éljen aktívan!A 15.046 nm-es, erdos, fás, Duna mellett fekvo területen lehetoség épül azok számára, akiket a munkájuk, a mindennapi teendoik a városba hívnak minden reggel, a nap végén azonban szeretnének egy rejtett, a suru forgatagtól és a város zajától mentes helyen, zárt környezetben idot tölteni családjukkal, barátaikkal!Napjainkban megnövekedett az igény a csendes, jó levegon lévo, családias, kisebb népsuruségu otthonteremtésre, amik a megemelkedett ingatlanárak mellett az erre vágyókat az agglomerációba kényszerítik. A megoldás most a 4. kerületben, melyben egyesül a békés és a mozgalmas, az elszigetelt és a városközeli, a zöld és a modern, az egyéni és a kollektív! Az épületek menti futópálya, a kiépített röplabdapálya, a futballpálya, a szabadtéri fitnesspark mind csak arra várnak, hogy új lakóik megrendezhessék házi bajnokságaikat!Kiemelkedoen kedvezo négyzetméter árakkal választhat most élheto, praktikus elrendezésu alaprajzokból!Minden lakáshoz legalább egy erkély tartozik, a lehetoségek között pedig választható kertkapcsolatos, vagy nagyobb alapterületu terasszal kialakított otthon!A 4 épületbol álló projekt széles skálájú választéka kiszolgálja az egyedülállókat és a családosokat egyaránt!A lakópark Budapest városrészeinek legészakibb részén, Székesdulon helyezkedik el. A Budapest és Dunakeszi közötti szakaszon lévo terület autóval kiválóan megközelítheto az M0-s autópályáról lehajtva, a Váci út külso szakaszáról, a Megyeri hídról, tömegközlekedéssel pedig az utca mellett lévo 104-es buszmegállóról. A Budapest-Dunakeszit összeköto kerékpárút a sportosabb életformát gyakorlók számára nyújt mindennapi és szabadidos kikapcsolódási lehetoséget!Muszaki tartalomról, fizetési ütemezésrol, a még megvásárolható lakásokról érdeklodjön mielobb!Az építkezés kezdete 2021.júniusában történik, az épületek átadása legkésobb 2022 december, illetve 2023. december.Foglalja le álmai otthonát, és tervezzen elore!Referencia szám: PR082853/F/17","nincs megadva",NA,"összkomfortos","nincs megadva","3","nincs megadva","van","nincs megadva","hoszivattyú","van","nincs megadva","nincs megadva","külön helyiségben","délkelet","kertre néz","125 m²","nincs megadva","nem tetotéri","nincs megadva",NA
"801","V. kerület, Belváros","91,65 millió Ft","67 m²","2","Belgrád rakparti, Március 15. téri gyönyöru épületben, a Molnár utcára nézo, 2 szobás, 3. emeleti, felújított lakás eladóA Duna parti épület külso homlokzatát frissen renoválták, és belülrol is kiváló állapotban van, liftje is felújított.A nappali a Molnár utcára, a hálószoba belso folyosóra néz.A lakás teljes köru, igényes felújítását, gépesítését 2012-2013-ban végezték, és jelenleg is kiváló állapotban van.Csendes és világos, a 36 nm-es nappalijába délelott süt be a nap, és a szemben lévo épület homlokzata is kiváló állapotú, szép látványt nyújt.A beépített berendezéseket és a bútorok zömét tartalmazza az ár. Csak egyes személyes dísztárgyak nem maradnak vagy azok egyeztetés kérdése.Saját használatra és kiadásra, befektetésre is tökéletes választás!Megtekintése 1-2 nappal elore egyeztetett idopontban lehetséges.","felújított","1950 elott","nincs megadva","nincs megadva","3","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
"802","V. kerület, Belváros","91,65 millió Ft","67 m²","2","A patinás, liftes Duna parti épület külso homlokzatait frissen renoválták, és belülrol is kiváló állapotban van, melynek liftje is felújított, 4 személyes, és két irányba/-ból nyílik.A nappali a Molnár utcára, a hálószoba belso folyosóra néz.A lakás teljes köru, igényes felújítását, gépesítését 2012-2013-ban végezték, és jelenleg is kiváló állapotban van.Csendes és világos, a 36 nm-es nappalijába délelott süt be a nap, és a szemben lévo épület homlokzata is kiváló állapotú, szép látványt nyújt.A beépített berendezéseket és a bútorok zömét tartalmazza az ár. Csak egyes személyes dísztárgyak nem maradnak vagy azok egyeztetés kérdése.Saját használatra és kiadásra, befektetésre is tökéletes választás!Megtekintése 1-2 nappal elore egyeztetett idopontban lehetséges.","felújított","1950 elott","nincs megadva","nincs megadva","3","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA
